 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


     25951.2948358    40320.0000000    -1175.8340711     4107.2837137     5278.5818113       -7.5343475       -1.1524634       -0.7803898
     25952.2640708    41715.6983712    -1923.4876741     4058.9779437     5093.5715021       -7.3485019       -1.2858840       -1.7469128


 1 25544U 98067A   20356.56194809 +.00001205  00000 0  29815-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 141.3370 0001552 148.1510 332.6182 15.4920733126106                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25923.5619481        0.0000000      453.5728078    -4999.9494913     4572.2474410        6.6612632       -2.2148242       -3.0756643
     25924.5619481     1440.0000000      -95.3446239     5061.0357386    -4544.1356235       -6.4331941        2.6981092        3.1412857
     25925.5619481     2880.0000000     -251.7928114    -5087.8747369     4490.3446007        6.1923038       -3.1600737       -3.2258932
     25926.5619481     4320.0000000      620.4903351     5099.2848034    -4459.0402201       -5.8970152        3.5951726        3.2921144
     25927.5619481     5760.0000000     -973.5711527    -5078.3448510     4402.0764762        5.5924852       -4.0066266       -3.3774942
     25928.5619481     7200.0000000     1346.0959303     5038.0936614    -4367.4523632       -5.2399423        4.3845052        3.4441495
     25929.5619481     8640.0000000    -1698.7303886    -4968.0037355     4307.1844971        4.8821222       -4.7369832       -3.5300808
